transaction_date,product_name,category,total_quantity,total_sales,avg_discount,avg_unit_price,promotion_active,holiday,is_weekend,season,transaction_count,lag_1,lag_7,rolling_mean_7,rolling_mean_30,rolling_std_7,trend
2024-05-14,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Summer,1,1.0,2.0,1.7142857142857142,1.8,0.755928946018454,1.0
2024-05-20,Smartphone,Electronics,2,266.56,30.0,190.4,1,0,0,Summer,1,1.0,1.0,1.5714285714285714,1.8,0.7867957924694426,1.0
2024-05-21,Smartphone,Electronics,2,380.8,0.0,190.4,0,0,0,Summer,1,2.0,2.0,1.7142857142857142,1.8333333333333333,0.755928946018454,2.0
2024-05-22,Smartphone,Electronics,2,342.72,10.0,190.4,1,0,0,Summer,1,2.0,2.0,1.7142857142857142,1.7666666666666666,0.755928946018454,2.0
2024-05-26,Smartphone,Electronics,2,380.8,0.0,190.4,0,0,1,Summer,1,2.0,3.0,1.7142857142857142,1.8,0.755928946018454,2.0
2024-05-29,Smartphone,Electronics,1,171.36,10.0,190.4,1,0,0,Summer,1,2.0,1.0,1.5714285714285714,1.7333333333333334,0.534522483824848,2.0
2024-06-03,Smartphone,Electronics,4,685.44,10.0,190.4,1,0,0,Monsoon,1,1.0,1.0,1.5714285714285714,1.6666666666666667,0.534522483824848,1.0
2024-06-10,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Monsoon,1,4.0,1.0,2.0,1.7666666666666666,0.9999999999999996,4.0
2024-06-14,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Monsoon,1,1.0,2.0,2.0,1.7666666666666666,0.9999999999999996,1.0
2024-06-18,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Monsoon,1,1.0,2.0,1.8571428571428572,1.7666666666666666,1.0690449676496971,1.0
2024-06-19,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Monsoon,1,1.0,2.0,1.7142857142857142,1.7666666666666666,1.112697280528373,1.0
2024-06-23,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,1,Monsoon,1,1.0,2.0,1.5714285714285714,1.7333333333333334,1.133893419027681,1.0
2024-07-04,Smartphone,Electronics,3,571.2,0.0,190.4,0,0,0,Monsoon,1,1.0,1.0,1.4285714285714286,1.7333333333333334,1.133893419027681,1.0
2024-07-05,Smartphone,Electronics,1,171.36,10.0,190.4,1,0,0,Monsoon,1,3.0,4.0,1.7142857142857142,1.8,1.253566341056017,3.0
2024-07-09,Smartphone,Electronics,2,380.8,0.0,190.4,0,0,0,Monsoon,2,1.0,1.0,1.2857142857142858,1.6666666666666667,0.7559289460184536,1.0
2024-07-19,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Monsoon,1,2.0,1.0,1.4285714285714286,1.7,0.7867957924694424,2.0
2024-07-23,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Monsoon,1,1.0,1.0,1.4285714285714286,1.7,0.7867957924694424,1.0
2024-07-29,Smartphone,Electronics,1,171.36,10.0,190.4,1,0,0,Monsoon,1,1.0,1.0,1.4285714285714286,1.7,0.7867957924694424,1.0
2024-07-30,Smartphone,Electronics,2,342.72,10.0,190.4,1,0,0,Monsoon,1,1.0,1.0,1.4285714285714286,1.7,0.7867957924694424,1.0
2024-08-13,Smartphone,Electronics,3,571.2,0.0,190.4,0,0,0,Monsoon,1,2.0,3.0,1.5714285714285714,1.7333333333333334,0.7867957924694424,2.0
2024-08-22,Smartphone,Electronics,2,380.8,0.0,190.4,0,0,0,Monsoon,1,3.0,1.0,1.5714285714285714,1.7666666666666666,0.7867957924694424,3.0
2024-09-10,Smartphone,Electronics,4,761.6,0.0,190.4,0,0,0,Monsoon,1,2.0,2.0,1.7142857142857142,1.7666666666666666,0.7559289460184536,2.0
2024-09-15,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,1,Monsoon,1,4.0,1.0,2.0,1.7333333333333334,1.154700538379251,4.0
2024-09-16,Smartphone,Electronics,1,190.4,0.0,190.4,0,1,0,Monsoon,1,1.0,1.0,2.0,1.7333333333333334,1.154700538379251,1.0
2024-09-26,Smartphone,Electronics,4,761.6,0.0,190.4,0,0,0,Monsoon,1,1.0,1.0,2.0,1.7,1.154700538379251,1.0
2024-09-27,Smartphone,Electronics,3,571.2,0.0,190.4,0,0,0,Monsoon,1,4.0,2.0,2.4285714285714284,1.8,1.2724180205607032,4.0
2024-10-02,Smartphone,Electronics,2,380.8,0.0,190.4,0,1,0,Post-Monsoon,1,3.0,3.0,2.5714285714285716,1.8333333333333333,1.2724180205607032,3.0
2024-10-04,Smartphone,Electronics,4,609.28,20.0,190.4,1,0,0,Post-Monsoon,1,2.0,2.0,2.4285714285714284,1.8333333333333333,1.2724180205607032,2.0
2024-10-05,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,1,Post-Monsoon,1,4.0,4.0,2.7142857142857144,1.8666666666666667,1.380131118684708,4.0
2024-10-11,Smartphone,Electronics,2,342.72,10.0,190.4,1,0,0,Post-Monsoon,2,1.0,1.0,2.2857142857142856,1.8666666666666667,1.380131118684708,1.0
2024-10-13,Smartphone,Electronics,2,380.8,0.0,190.4,0,0,1,Post-Monsoon,1,2.0,1.0,2.4285714285714284,1.9,1.2724180205607032,2.0
2024-10-15,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Post-Monsoon,1,2.0,4.0,2.5714285714285716,1.9333333333333333,1.1338934190276813,2.0
2024-10-16,Smartphone,Electronics,1,180.88,5.0,190.4,1,0,0,Post-Monsoon,1,1.0,3.0,2.142857142857143,1.9,1.069044967649697,1.0
2024-10-23,Smartphone,Electronics,2,323.68,15.0,190.4,1,0,0,Post-Monsoon,1,1.0,2.0,1.8571428571428572,1.8666666666666667,1.069044967649697,1.0
2024-10-24,Smartphone,Electronics,3,571.2,0.0,190.4,0,0,0,Post-Monsoon,1,2.0,4.0,1.8571428571428572,1.8666666666666667,1.069044967649697,2.0
2024-10-27,Smartphone,Electronics,3,571.2,0.0,190.4,0,0,1,Post-Monsoon,2,3.0,1.0,1.7142857142857142,1.9,0.7559289460184537,3.0
2024-10-28,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Post-Monsoon,1,3.0,2.0,2.0,1.9666666666666666,0.8164965809277255,3.0
2024-10-30,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Post-Monsoon,1,1.0,2.0,1.8571428571428572,1.8666666666666667,0.8997354108424369,1.0
2024-11-05,Smartphone,Electronics,1,171.36,10.0,190.4,1,0,0,Post-Monsoon,1,1.0,1.0,1.7142857142857142,1.8666666666666667,0.9511897312113415,1.0
2024-11-07,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Post-Monsoon,1,1.0,1.0,1.7142857142857142,1.8666666666666667,0.9511897312113415,1.0
2024-11-09,Smartphone,Electronics,2,342.72,10.0,190.4,1,0,1,Post-Monsoon,1,1.0,2.0,1.7142857142857142,1.8666666666666667,0.9511897312113415,1.0
2024-11-17,Smartphone,Electronics,1,161.84,15.0,190.4,1,0,1,Post-Monsoon,1,2.0,3.0,1.7142857142857142,1.9,0.9511897312113415,2.0
2024-11-21,Smartphone,Electronics,1,152.32,20.0,190.4,1,0,0,Post-Monsoon,1,1.0,3.0,1.4285714285714286,1.9,0.7867957924694428,1.0
2024-11-22,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Post-Monsoon,1,1.0,1.0,1.1428571428571428,1.8333333333333333,0.37796447300922664,1.0
2024-11-23,Smartphone,Electronics,4,761.6,0.0,190.4,0,0,1,Post-Monsoon,2,1.0,1.0,1.1428571428571428,1.8333333333333333,0.37796447300922664,1.0
2024-12-02,Smartphone,Electronics,1,161.84,15.0,190.4,1,0,0,Winter,1,4.0,1.0,1.5714285714285714,1.9,1.1338934190276813,4.0
2024-12-07,Smartphone,Electronics,3,428.4,25.0,190.4,1,0,1,Winter,1,1.0,1.0,1.5714285714285714,1.9,1.1338934190276813,1.0
2024-12-12,Smartphone,Electronics,1,190.4,0.0,190.4,0,0,0,Winter,1,3.0,2.0,1.8571428571428572,1.9666666666666666,1.2149857925879115,3.0
2024-12-15,Smartphone,Electronics,1,171.36,10.0,190.4,1,0,1,Winter,1,1.0,1.0,1.7142857142857142,1.9666666666666666,1.2535663410560172,1.0
2024-12-21,Smartphone,Electronics,2,285.6,25.0,190.4,1,0,1,Winter,1,1.0,1.0,1.7142857142857142,1.9333333333333333,1.2535663410560172,1.0
